FID,Iteration,Latitude,Longitude,State,Lake,Lake ID,Lake Size km2,Number of Lakes in Buffer,Infected?,Infect Reduction Type,HSI,Probability of Infection,Boat Threshold,Initial Boats,Uninfected Boats Arriving,Infected Boats Arriving,Total Boats Arriving,Total Boats Leaving
42,0,36.238,-106.429,NM,ABIQUIU RESERVOIR,0,7.039,0,FALSE,Null,0.845,1,100,290.02535,191.477492,48.17754423,239.6550363,290.02535
42,1,36.238,-106.429,NM,ABIQUIU RESERVOIR,0,7.039,0,FALSE,Null,0.845,1,100,290.02535,156.9574713,82.69756491,239.6550363,290.02535
43,0,38.377,-115.108,NV,ADAMS-MCGILL RESERVOIR,0,2.739,0,FALSE,Null,1,1,100,662.7134,647.6037375,72.05102637,719.6547638,662.7134
43,1,38.377,-115.108,NV,ADAMS-MCGILL RESERVOIR,0,2.739,0,TRUE,Null,1,1,100,662.7134,606.8056861,112.8490778,719.6547638,662.7134
44,0,38.208,-105.452,CO,ADOBE CREEK RESERVOIR,0,1.29,0,FALSE,Null,0.967140941,1,100,122.2112,310.4803229,5.779233838,316.2595567,122.2112
44,1,38.208,-105.452,CO,ADOBE CREEK RESERVOIR,0,1.29,0,FALSE,Null,0.967140941,1,100,122.2112,306.2595915,9.999965181,316.2595567,122.2112
45,0,42.413,-122.771,OR,AGATE RESERVOIR,0,0.827,0,FALSE,Null,0.387298335,1,100,1510.23685,47.72124934,1.700452755,49.42170209,1510.23685
45,1,42.413,-122.771,OR,AGATE RESERVOIR,0,0.827,0,FALSE,Null,0.387298335,1,100,1510.23685,38.18951558,11.23218651,49.42170209,1510.23685
46,0,42.52953,-121.9297444,OR,AGENCY LAKE,0,37.944,0,FALSE,Null,2.82E-04,1,100,490.84485,1816.254113,86.49451224,1902.748625,490.84485
46,1,42.52953,-121.9297444,OR,AGENCY LAKE,0,37.944,0,TRUE,Null,2.82E-04,1,100,490.84485,1041.798431,860.950194,1902.748625,490.84485
47,0,42.53542,-106.71227,WY,ALCOVA RESERVOIR,0,9.177,0,FALSE,Null,0.995,1,100,546.6019,925.2795985,27.22789956,952.5074981,546.6019
47,1,42.53542,-106.71227,WY,ALCOVA RESERVOIR,0,9.177,0,TRUE,Null,0.995,1,100,546.6019,711.2161017,241.2913963,952.5074981,546.6019
48,0,42.656,-111.653,ID,ALEXANDER RESERVOIR,0,4.294,0,FALSE,Null,0.959166305,1,100,63.77233333,189.2967989,20.66727145,209.9640703,63.77233333
48,1,42.656,-111.653,ID,ALEXANDER RESERVOIR,0,4.294,0,TRUE,Null,0.959166305,1,100,63.77233333,77.49681236,132.4672579,209.9640703,63.77233333
49,0,43.913,-114.861,ID,ALTURAS LAKE,0,3.39,0,FALSE,Null,2.24E-04,1,100,205.4712,82.24520435,12.03582702,94.28103136,205.4712
49,1,43.913,-114.861,ID,ALTURAS LAKE,0,3.39,0,FALSE,Null,2.24E-04,1,100,205.4712,56.3516876,37.92934376,94.28103136,205.4712
50,0,42.78,-112.877,ID,AMERICAN FALLS RESERVOIR,0,223.799,0,TRUE,Null,0.98488578,1,100,3102.9192,6664.585986,1081.74194,7746.327927,3102.9192
50,1,42.78,-112.877,ID,AMERICAN FALLS RESERVOIR,0,223.799,0,TRUE,Null,0.98488578,1,100,3102.9192,4685.181612,3061.146314,7746.327927,3102.9192
51,0,43.35865,-115.443272,ID,ANDERSON RANCH RESERVOIR,0,18.744,0,FALSE,Null,0.343329288,1,100,247.9820667,481.6873803,74.13213343,555.8195137,247.9820667
51,1,43.35865,-115.443272,ID,ANDERSON RANCH RESERVOIR,0,18.744,0,TRUE,Null,0.343329288,1,100,247.9820667,294.6348891,261.1846246,555.8195137,247.9820667
52,0,43.30429,-103.40689,SD,ANGOSTURA RESERVOIR,0,19.235,0,FALSE,Null,0.957862203,1,100,217.5258,837.4028198,34.22802609,871.6308459,217.5258
52,1,43.30429,-103.40689,SD,ANGOSTURA RESERVOIR,0,19.235,0,FALSE,Null,0.957862203,1,100,217.5258,798.1656309,73.46521501,871.6308459,217.5258
4,0,38.994464,-105.895885,CO,ANTERO RESERVOIR,0,9.987,0,FALSE,Null,0.939457077,1,100,99.007,1371.263085,45.00308605,1416.266171,99.007
4,1,38.994464,-105.895885,CO,ANTERO RESERVOIR,0,9.987,0,FALSE,Null,0.939457077,1,100,99.007,1336.518248,79.74792334,1416.266171,99.007
53,0,33.623,-111.206,AZ,APACHE LAKE,0,10.391,0,TRUE,Null,1,0,100,17945.607,5054.218872,11000.64223,16054.8611,17945.607
53,1,33.623,-111.206,AZ,APACHE LAKE,0,10.391,0,TRUE,Null,1,0,100,17945.607,50.86052352,16004.00058,16054.8611,17945.607
54,0,35.644,-97.367,OK,ARCADIA LAKE,0,7.366,0,FALSE,Null,0.988977,1,100,20460.6744,4008.686677,32.24891009,4040.935587,20460.6744
54,1,35.644,-97.367,OK,ARCADIA LAKE,0,7.366,0,FALSE,Null,0.988977,1,100,20460.6744,3957.711409,83.22417778,4040.935587,20460.6744
55,0,43.59245,-115.9184,ID,ARROWROCK RESERVOIR,0,9.258,0,FALSE,Null,0.071589105,1,100,317.9325333,11402.20667,33.74216028,11435.94883,317.9325333
55,1,43.59245,-115.9184,ID,ARROWROCK RESERVOIR,0,9.258,0,TRUE,Null,0.071589105,1,100,317.9325333,11312.10911,123.8397248,11435.94883,317.9325333
56,0,39.6102,-104.6754,CO,AURORA RESERVOIR,0,0.006,0,FALSE,Null,1,1,100,18024.7583,5.483388619,0.019808819,5.503197438,18024.7583
