FID,Iteration,Latitude,Longitude,State,Lake,Lake ID,Lake Size km2,Number of Lakes in Buffer,Infected?,Infect Reduction Type,HSI,Probability of Infection,Boat Threshold,Initial Boats,Uninfected Boats Arriving,Infected Boats Arriving,Total Boats Arriving,Total Boats Leaving
244,0,40.054439,-105.752928,CO,MEADOW CREEK RESERVOIR,0,0.422,0,false,Null,1.0E-7,1,100,44.6257777778,82.93009931172348,1.5646317130342515,84.49473102475773,44.62577777780004,
399,0,40.2844,-109.8775,UT,Bottle Hollow Reservoir,0,1.701,0,false,Null,0.9974968671630002,1,100,168.64856,73.54675837909014,14.069990326050814,87.61674870514095,168.64856000000012,
361,0,37.141071,-104.552007,CO,TRINIDAD RESERVOIR,0,5.027,0,false,Null,0.9508943158942533,1,100,155.237666667,389.28260071195575,20.250415492737194,409.53301620469296,155.23766666699998,
451,0,32.3529,-94.65,TX,Lake Cherokee,0,34.6783931806,0,true,Null,1.0E-7,1,100,9930,6700.8814588562245,269.8320000875009,6970.7134589437255,9930.000000000002,
192,0,39.809,-99.941,KS,KEITH SEBELIUS RESERVOIR,0,1.972,0,false,Null,0.8875,1,100,172.8912,97.5764660481879,4.5495662702490725,102.12603231843697,172.8912000000001,
50,0,42.78,-112.877,ID,AMERICAN FALLS RESERVOIR,0,223.799,0,true,Null,0.9848857801796104,1,100,3102.9192,6770.598741955711,1045.1389845148506,7815.737726470562,3102.9192000000025,
425,0,31.8945875,-100.5159332,TX,E. V. Spence Reservoir,0,64.4114020354,0,true,Null,0.0800000000000003,1,100,178,3375.2787758237796,320.99209408621476,3696.2708699099944,178.00000000000009,
485,0,32.793,-96.4903,TX,Lake Ray Hubbard,0,29.6230152,0,true,Null,1.0E-7,1,100,53196,8459.901282776482,1020.8277144051796,9480.72899718166,53195.999999999985,
206,0,40.059,-110.626,UT,LAKE CANYON LAKE,0,0.117,0,false,Null,0.8944285018714462,1,100,119.88535,5.291271741006791,1.194162770199838,6.485434511206629,119.88534999999997,
531,0,33.4568,-101.0838,TX,White River Lake,0,0.2749031998,0,false,Null,2.776328510821441E-4,1,100,147,17.329506808643664,1.1014109641499483,18.430917772793613,146.99999999999974,
532,0,32.8281,-96.7253,TX,White Rock Lake,0,107.371208583,0,true,Null,0.38078865529319544,1,100,28323,49159.1742235838,6557.82659746476,55717.00082104856,28322.99999999998,
413,0,31.9105706,-97.1991066,TX,Aquilla Reservoir,0,34.5974559806,0,true,Null,1.3416407864998736E-4,1,100,1698,8325.145391505623,848.9362716870713,9174.081663192694,1698.0000000000011,
349,0,34.641,-104.375,NM,SUMNER LAKE,0,17.649,0,false,Null,0.9643650760992953,1,100,59.73,375.35189731822834,76.90679736502794,452.2586946832563,59.72999999999998,
441,0,33.059508,-101.052791,TX,Lake Alan Henry,0,79.6465349402,0,true,Null,0.4275543825058984,1,100,158,3912.8616730354247,326.90905217776503,4239.7707252131895,158.00000000000006,
39,0,40.2068,-105.8403,CO,SHADOW MOUNTAIN LAKE,0,5.447,0,false,Null,0.48546027128901076,1,100,44.6257777778,891.583387513542,20.07472268442933,911.6581101979713,44.62577777780006,
295,0,38.8268,-104.8024,CO,PROSPECT LAKE,0,0.193,0,false,Null,1,1,100,4404.96985,1488.0639625811455,0.6999316020235707,1488.763894183169,4404.969850000011,
225,0,42.676,-113.473,ID,LAKE WALCOTT,0,47.684,0,true,Null,0.9974968671630002,1,100,275.9345,1470.0778713615687,229.8655162504699,1699.9433876120386,275.93450000000036,
364,0,37.0519,-106.4559,CO,TRUJILLO MEADOWS RES,0,0.288,0,false,Null,2.908453197147927E-4,1,100,76.2492666667,14.175493928750955,1.819260614191194,15.994754542942148,76.24926666669995,
78,0,40.4376,-105.0396,CO,BOYD LAKE,0,6.369,0,false,Null,1,1,100,405.617709091,5716.951037100017,19.871087427120337,5736.822124527137,405.6177090910003,
527,0,31.3591,-100.5352,TX,Twin Buttes Reservoir,0,8.2858244442,0,false,Null,0.16999999999999993,1,100,3357,3775.005213188374,42.25897050915611,3817.26418369753,3357.000000000006,
87,0,33.577,-111.356,AZ,CANYON LAKE,0,3.844,0,true,Null,0.9848857801796104,0,100,17945.607,2545.8194812338893,5303.447699137752,7849.267180371642,17945.607000000007,
474,0,35.6589,-101.6442,TX,Lake Meredith,0,108.32351762,0,true,Null,1.0000000000000005E-4,1,100,1918,4630.345691027153,363.98791033521104,4994.333601362365,1918.0000000000011,
301,0,38.7862,-104.8063,CO,QUAIL LAKE,0,0.068,0,false,Null,1,1,100,4404.96985,646.1527621796616,0.24784208205148298,646.4006042617132,4404.96985,
88,0,40.34459,-105.21275,CO,CARTER LAKE RESERVOIR,0,4.533,0,false,Null,0.2637618480751148,1,100,405.617709091,3390.5689556073908,14.71961230811541,3405.288567915506,405.61770909100005,
177,0,48.341,-113.983,MT,HUNGRY HORSE RESERVOIR,0,95.488,0,true,Null,0.6987314219354958,1,100,2658.0936,816.752132417024,143.74707405051024,960.4992064675342,2658.093600000003,
185,0,40.392532,-104.090533,CO,JACKSON RESERVOIR,0,9.852,0,false,Null,0.9227491533455884,1,100,782.7526,1457.282704287251,26.827797317344867,1484.1105016045958,782.7526000000006,
114,0,40.701,-105.087,CO,DOUGLAS RESERVOIR,0,2.125,0,false,Null,0.9759610647971568,1,100,405.617709091,899.7723261498186,6.453864586816708,906.2261907366353,405.6177090909999,
182,0,44.419,-111.397,ID,ISLAND PARK RESERVOIR,0,29.627,0,false,Null,0.5869329603966709,1,100,177.9411,677.6594668212402,89.35779507391425,767.0172618951544,177.9410999999999,
478,0,31.3736111,-100.5030556,TX,Lake Nasworthy,0,5.9362984654,0,false,Null,7.745966692414837E-5,1,100,3357,3574.292175280367,30.605773874648428,3604.8979491550153,3357,
440,0,32.6238,-97.0032,TX,Joe Pool Lake,0,13.0022778998,0,true,Null,0.10000000000000009,1,100,66324,9159.264503889664,660.8302965152432,9820.094800404908,66323.99999999999,
488,0,32.470951,-100.405937,TX,Lake Sweetwater,0,6.7489888906,0,false,Null,1.5652475842498523E-4,1,100,429,263.162790691638,33.4799452230949,296.6427359147329,429.00000000000006,
59,0,47.671,-119.296,WA,BANKS LAKE,0,108.774,0,true,Null,0.5491584470806218,1,100,4921.028,6520.5176072679205,149.79563801107903,6670.313245279,4921.027999999989,
401,0,36.991,-120.937,CA,LOS BANOS CREEK RESERVOIR,0,1.94,0,false,Null,0.9961011643623352,1,100,3226.506,323.2022073653679,10.543466964990412,333.74567433035827,3226.505999999996,
278,0,37.715,-112.638,UT,PANGUITCH LAKE,0,4.257,0,true,Null,1,1,100,145.9946,338.7459801258045,138.03033549171295,476.77631561751747,145.99459999999985,
92,0,39.556726,-105.0631947,CO,CHATFIELD RESERVOIR,0,5.622,0,false,Null,0.9643650760992953,1,100,3836.8923,5122.10389556753,19.6603195844872,5141.764215152018,3836.892300000006,
188,0,38.0745,-102.948,CO,JOHN MARTIN RESERVOIR,0,68.79,0,true,Null,0.963068014212911,1,100,101.3057,3004.2319919202587,203.00014375236563,3207.2321356726243,101.30570000000002,
324,0,45.752,-102.204,SD,SHADEHILL RESERVOIR,0,15.383,0,false,Null,0.9801836562603969,1,100,89.052,470.6445936407562,18.763843445408046,489.40843708616427,89.05200000000004,
96,0,44.999,-112.859,MT,CLARK CANYON RESERVOIR,0,19.919,0,false,Null,0.9526279441628825,1,100,282.1428,286.1936021992204,54.981838840273454,341.1754410394938,282.1427999999999,
491,0,28.8892,-96.5836,TX,Lake Texana,0,4.7946387908,0,false,Null,1.1180339887498949E-4,1,100,935,348.72320920202253,48.724162207808064,397.44737140983057,934.9999999999998,
390,0,37.5142,-107.2229,CO,WILLIAMS CREEK RESERVOIR,0,1.348,0,false,Null,2.9410882339705487E-4,1,100,4.97388,66.576157898588,10.216644791015392,76.79280268960339,4.973879999999998,
94,0,39.649683,-104.853463,CO,CHERRY CREEK RESERVOIR,0,3.586,0,false,Null,0.9912113800799505,1,100,8142.6108,6397.405422149015,11.963636488907142,6409.3690586379225,8142.610799999995,
155,0,42.93299,-109.75785,WY,HALFMOON LAKE,0,4.187,0,false,Null,2.819574435974337E-4,1,100,74.3367,147.61286344692417,15.912619537581362,163.52548298450552,74.33670000000002,
266,0,37.65,-113.526,UT,NEWCASTLE RESERVOIR,0,0.613,0,false,Null,0.9785192895390463,1,100,415.129533333,31.99010353401454,23.959395578087907,55.949499112102444,415.12953333299987,
456,0,33.7169,-95.5879,TX,Lake Crook,0,1.978712197,0,false,Null,0.10606601717798217,1,100,1971,215.65234171004306,23.02895159597493,238.681293306018,1970.9999999999984,
273,0,42.285,-111.735,ID,ONEIDA NARROWS RESERVOIR,0,1.74,0,false,Null,0.9327379053088815,1,100,162.6466,63.25205406461095,8.993347583260153,72.2454016478711,162.64659999999967,
270,0,40.7891,-103.2673,CO,NORTH STERLING RES,0,10.724,0,false,Null,0.9937746223364733,1,100,687.1122,1406.8350362656108,25.11977918728538,1431.9548154528961,687.1121999999999,
67,0,39.04596,-107.94406,CO,BIG EGGLESTON LAKE,0,0.525,0,false,Null,2.951121820596364E-4,1,100,229.8338,168.3700834782159,3.862210100908872,172.23229357912476,229.83380000000034,
27,0,39.451014,-105.860042,CO,JEFFERSON LAKE,0,0.362,0,false,Null,0.2941088233970548,1,100,99.007,60.645457071275395,1.4898811411664121,62.13533821244181,99.00700000000016,
15,0,43.760457,-121.79232,OR,CRANE PRAIRIE RESERVOIR,0,16.777,0,false,Null,3.10255700995163E-4,1,100,2311.8768,2644.410320450457,31.99270857016413,2676.4030290206215,2311.8768000000077,
526,0,31.5647,-96.9498,TX,Tradinghouse Reservoir,0,61.2712695083,0,true,Null,1.3038404810405296E-4,1,100,6340,8611.17899941125,1467.4908818610015,10078.669881272252,6340,
475,0,31.6641,-96.6064,TX,Lake Mexia,0,41.0337844676,0,true,Null,1.3964240043768943E-4,1,100,1180,6276.894830691562,745.7992162211503,7022.694046912712,1179.9999999999995,
207,0,44.494,-116.058,ID,LAKE CASCADE (inflow),0,104.467,0,true,Null,2.774887385102322E-4,1,100,74.6444,2708.729250346117,300.0645084024452,3008.793758748562,74.64439999999998,
139,0,48.5973,-109.9527,MT,FRESNO RESERVOIR,0,20.262,0,false,Null,0.8773228026217031,1,100,452.0294,171.52023622156923,27.82188541725891,199.34212163882813,452.0294000000003,
144,0,40.542,-112.506,UT,GRANTSVILLE RESERVOIR,0,0.321,0,false,Null,0.9698152214416931,1,100,1457.5568,19.935288692380958,3.008191177115453,22.94347986949641,1457.5568000000014,
496,0,30.166,-95.4769,TX,Lake Woodlands,0,36.1247409446,0,true,Null,1.0E-7,1,100,26565,47250.700839067875,1169.8841703907408,48420.58500945861,26565.000000000007,
263,0,48.533,-107.522,MT,NELSON RESERVOIR,0,16.625,0,false,Null,0.9923759368303929,1,100,125.976,143.79340946804817,20.84274025193245,164.6361497199806,125.97600000000013,
341,0,39.87355,-105.1236713,CO,STANDLEY LAKE,0,4.941,0,false,Null,0.8020267140189284,1,100,5276.88606667,3723.555396518365,16.79360151911078,3740.3489980374757,5276.886066669993,
125,0,37.547573,-107.8066809,CO,ELECTRA LAKE,0,3.239,0,false,Null,0.9790505604921536,1,100,257.6173,163.59435778066597,29.98256215631518,193.57691993698114,257.6172999999997,
429,0,32.61667,-99.6667,TX,Fort Phantom Hill Reservoir,0,5.7951439886,0,false,Null,1.3038404810405296E-4,1,100,569,267.16295945523467,37.66739247038716,304.8303519256218,568.9999999999992,
84,0,41.845,-99.224,NE,CALAMUS RESERVOIR,0,20.362,0,false,Null,0.6262802886886989,1,100,63.4224,4532.097370316239,29.267563395090274,4561.364933711329,63.42240000000004,
316,0,40.469,-118.308,NV,RYE PATCH RESERVOIR,0,46.434,0,true,Null,1,1,100,204.8558,1582.312874825399,266.9213536394097,1849.2342284648087,204.8557999999998,
279,0,38.975317,-107.339134,CO,PAONIA RESERVOIR,0,1.357,0,false,Null,0.9137273663407482,1,100,117.4147,105.09548070592994,8.49935818868281,113.59483889461275,117.41470000000004,
77,0,40.0851,-105.2177,CO,BOULDER CITY RESERVOIR,0,2.171,0,false,Null,0.797523777075016,1,100,2192.6883,2996.61753644656,7.298424626346845,3003.9159610729066,2192.6883000000007,
280,0,40.7849,-105.5613,CO,PARVIN LAKE,0,0.272,0,false,Null,2.810693864511039E-4,1,100,405.617709091,465.01036963062637,0.8799945514428695,465.8903641820692,405.6177090909999,
283,0,44.953,-116.056,ID,PAYETTE LAKE,0,20.536,0,false,Null,0.0800000000000003,1,100,74.6444,427.47138883534615,53.703015326201424,481.17440416154756,74.64439999999998,
393,0,42.1550861111,-121.663538889,OR,WILSON RESERVOIR,0,0.824,0,false,Null,0.9342816110788011,1,100,490.84485,58.142305101832555,1.9900057926947095,60.132310894527265,490.8448499999997,
389,0,41.3795,-112.0917,UT,WILLARD BAY RESERVOIR,0,40.434,0,true,Null,1,1,100,430.767933333,5576.204125120097,279.2861697718084,5855.490294891905,430.76793333299923,
511,0,36.36144167,-100.1640167,TX,Palo Duro Reservoir,0,61.44752224,0,true,Null,1.4832396974191324E-4,1,100,120,1746.9793435891213,254.79111245139504,2001.7704560405164,120.00000000000006,
326,0,44.7594,-107.4352,WY,SIBLEY LAKE,0,0.147,0,false,Null,2.9068883707497264E-4,1,100,861.2704,2.500500230002397,0.3188101371087385,2.8193103671111355,861.2703999999989,
235,0,43.327,-114.399,ID,MAGIC RESERVOIR,0,14.222,0,false,Null,0.9460443964212251,1,100,238.5218,318.8770818572568,57.06925449484422,375.94633635210107,238.52180000000004,
99,0,45.862,-119.152,OR,COLD SPRINGS RESERVOIR,0,5.828,0,false,Null,0.4669402531373794,1,100,2139.0942,142.23579131870045,10.591854944723291,152.82764626342373,2139.094200000001,
120,0,40.327,-105.579,CO,EAST PORTAL RESERVOIR,0,0.007,0,false,Null,3.0E-4,1,100,405.617709091,3.355675088839573,0.024225552046161974,3.3799006408857353,405.6177090909998,
247,0,38.495,-111.569,UT,MILL MEADOW RESEVOIR,0,0.65,0,false,Null,0.702505373644928,1,100,167.3888,64.7744054765235,18.17868120598727,82.95308668251077,167.38880000000006,
209,0,44.4854,-106.7445,WY,LAKE DESMET,0,8.513,0,false,Null,1,1,100,84.6356,288.68748834455954,18.128033832497827,306.81552217705735,84.63560000000005,
265,0,38.01661,-120.541638,CA,NEW MELONES LAKE,0,50.582,0,true,Null,0.63818560145149,1,100,1396.4874,8064.68407085019,273.80292135914453,8338.486992209335,1396.4874000000004,
98,0,39.021356,-106.2467778,CO,CLEAR CREEK RESERVOIR,0,1.572,0,false,Null,0.676323443331665,1,100,111.58288,178.99925229734026,7.4538681739904264,186.4531204713307,111.58287999999966,
242,0,34.334,-95.914,OK,MCGEE CREEK LAKE,0,0.001,0,false,Null,2.966479394838265E-4,1,100,413.6212,0.0522927503062176,0.012541359074266971,0.06483410938048458,413.62119999999965,
184,0,43.88918,-110.65877,WY,JACKSON LAKE,0,108.671,0,true,Null,0.5195214143805816,1,100,323.4832,2423.1948975586715,355.08690241741175,2778.281799976083,323.4832000000004,
